No.,Japanese (Kanji),Hiragana,Romaji,English Translation,Part of Speech,Example Sentence (Japanese),Example Sentence (English),Example Sentence (Romaji),Notes
1, 私               , わたし       , watashi    , I                   , Pronoun          , 私は学生です。                   , I am a student.                  , watashi wa gakusei desu.            ," Basic pronoun for ""I""                                    "
2, あなた           , あなた       , anata      , you                 , Pronoun          , あなたは先生ですか？             , Are you a teacher?               , anata wa sensei desu ka?            ," Used for ""you""                                           "
3, さん             , さん         , san        , Mr./Ms. (polite)    , Honorific suffix , 田中さんは忙しいです。           , Mr. Tanaka is busy.              , Tanaka-san wa isogashii desu.       , A polite suffix added to names                           
4, 日本             , にほん       , nihon      , Japan               , Proper noun      , 日本へ行きたいです。             , I want to go to Japan.           , Nihon e ikitai desu.                , Country name                                             
5, 中国             , ちゅうごく   , chuugoku   , China               , Proper noun      , 中国から来ました。               , I came from China.               , Chuugoku kara kimashita.            , Country name                                             
6, 韓国             , かんこく     , kankoku    , Korea               , Proper noun      , 韓国は美しい国です。             , Korea is a beautiful country.    , Kankoku wa utsukushii kuni desu.    , Country name                                             
7, アメリカ         , あめりか     , amerika    , USA                 , Proper noun      , アメリカに住んでいます。         , I live in the USA.               , Amerika ni sundeimasu.              , Country name                                             
8, インド           , いんど       , indo       , India               , Proper noun      , インドは大きな国です。           , India is a large country.        , Indo wa ookina kuni desu.           , Country name                                             
9, ドイツ           , どいつ       , doitsu     , Germany             , Proper noun      , ドイツに行ったことがあります。   , I have been to Germany.          , Doitsu ni itta koto ga arimasu.     , Country name                                             
10, 大学             , だいがく     , daigaku    , university          , Noun             , 大学で勉強しています。           , I am studying at university.     , Daigaku de benkyou shiteimasu.      , Educational institution                                  
11, 高校             , こうこう     , kookoo     , high school         , Noun             , 高校の友達に会いました。         , I met a friend from high school. , Kookoo no tomodachi ni aimashita.   , Educational institution                                  
12, 学校             , がっこう     , gakkoo     , school              , Noun             , 学校が始まります。               , School is starting.              , Gakkou ga hajimarimasu.             , General term for school                                  
13, 先生             , せんせい     , sensee     , teacher             , Noun             , 先生は親切です。                 , The teacher is kind.             , Sensei wa shinsetsu desu.           , Can be used for teachers and other respected individuals 
14, 学生             , がくせい     , gakusee    , student             , Noun             , 学生は勉強しています。           , The student is studying.         , Gakusei wa benkyou shiteimasu.      , Person studying                                          
15, 名前             , なまえ       , namae      , name                , Noun             , 名前を教えてください。           , Please tell me your name.        , Namae o oshiete kudasai.            , General term for name                                    
16, あの方           , あのかた     , anokata    , that person         , Noun             , あの方は誰ですか？               , Who is that person?              , Ano kata wa dare desu ka?           , Polite way to refer to someone                           
17, から             , から         , kara       , from                , Particle         , 日本から来ました。               , I came from Japan.               , Nihon kara kimashita.               , Indicates origin                                         
18, 来る             , くる         , kuru       , to come             , Verb             , 明日来る予定です。               , I plan to come tomorrow.         , Ashita kuru yotei desu.             , Indicates action of coming                               
19, 行く             , いく         , iku        , to go               , Verb             , 東京に行きます。                 , I am going to Tokyo.             , Toukyou ni ikimasu.                 , Indicates action of going                                
20, どなた           , どなた       , donata     , who (polite)        , Pronoun          , どなたですか？                   , Who is it?                       , Donata desu ka?                     ," Polite form of ""who""                                     "
21, 友達             , ともだち     , tomodachi  , friend              , Noun             , 友達と遊びます。                 , I will hang out with friends.    , Tomodachi to asobimasu.             , General term for friend                                  
22, 医者             , いしゃ       , isha       , doctor              , Noun             , 医者に診てもらいました。         , I was examined by a doctor.      , Isha ni mite moraimashita.          , Medical professional                                     
23, エンジニア       , えんじにあ   , enjinia    , engineer            , Noun             , エンジニアとして働いています。   , I work as an engineer.           , Enjinia to shite hataraiteimasu.    , Professional title                                       
24, 会社員           , かいしゃいん , kaishain   , company employee    , Noun             , 会社員として働いています。       , I work as a company employee.    , Kaishain to shite hataraiteimasu.   , Office worker                                            
25, サラリーマン     , さらりーまん , sarariiman , company employee    , Noun             , サラリーマンとして働いています。 , I work as a salaryman.           , Sarariiman to shite hataraiteimasu. , Term often used for salaried workers                     
26, 美味しい         , おいしい   , oishii     , delicious           , Adjective      , この料理は美味しいです。     , This dish is delicious.        , Kono ryouri wa oishii desu.         , Describes taste                
27, 大きい           , おおきい   , ookii      , big                 , Adjective      , この部屋は大きいです。       , This room is big.              , Kono heya wa ookii desu.            , Describes size                 
28, 国               , くに       , kuni       , country/nation      , Noun           , 日本は美しい国です。         , Japan is a beautiful country.  , Nihon wa utsukushii kuni desu.      , Refers to countries or nations 
29, ～語             , ～ご       , ～ go      , language            , Suffix         , 日本語を勉強しています。     , I am studying Japanese.        , Nihongo o benkyou shiteimasu.       , Suffix for languages           
30, ～人             , ～じん     , ～ jin     , a country's people  , Suffix         , アメリカ人です。             , I am American.                 , Amerikajin desu.                    , Suffix for nationality         
31, コーヒー         , コーヒー   , koohii     , coffee              , Noun           , 朝にコーヒーを飲みます。     , I drink coffee in the morning. , Asa ni koohii o nomimasu.           , Commonly used beverage         
32, 熱い             , あつい     , atsui      , hot                 , Adjective      , このお茶は熱いです。         , This tea is hot.               , Kono ocha wa atsui desu.            , Describes temperature          
33, 寒い             , さむい     , samui      , cold                , Adjective      , 外は寒いです。               , It is cold outside.            , Soto wa samui desu.                 , Describes temperature          
34, の               , の         , no         , 's/of/belonging to  , Particle       , 彼の本です。                 , It is his book.                , Kare no hon desu.                   , Indicates possession           
35, 本               , ほん       , hon        , book                , Noun           , この本は面白いです。         , This book is interesting.      , Kono hon wa omoshiroi desu.         , Refers to books                
36, 車               , くるま     , kuruma     , car                 , Noun           , 車を運転します。             , I drive a car.                 , Kuruma o untenshimasu.              ," Means ""car""                    "
37, 山田             , やまだ     , yamada     , Yamada (surname)    , Proper noun    , 山田さんは日本から来ました。 , Mr. Yamada came from Japan.    , Yamada-san wa Nihon kara kimashita. , Common Japanese surname        
38, 佐藤             , さとう     , sato       , Sato (surname)      , Proper noun    , 佐藤さんは教師です。         , Mr. Sato is a teacher.         , Sato-san wa kyoushi desu.           , Common Japanese surname        
39, 鈴木             , すずき     , suzuki     , Suzuki (surname)    , Proper noun    , 鈴木さんはエンジニアです。   , Mr. Suzuki is an engineer.     , Suzuki-san wa enjinia desu.         , Common Japanese surname        
40, 教室             , きょうしつ , kyooshitsu , classroom           , Noun           , 教室に行きます。             , I am going to the classroom.   , Kyooshitsu ni ikimasu.              , Refers to a classroom          
